Date,Weather (C),Weight (tons),,,,,,,,,
2014-05-31,18.27777778,25.98,,,,,,,,,
2014-06-30,22.88888889,32.00,,,,,,,,,
2014-07-31,24.22222222,21.20,,,,,,,,,
2014-08-31,22.5,18.17,,,,,,,,,
2014-09-30,20.38888889,8.14,,,,,,,,,
2014-10-31,14.55555556,14.72,,,,,,,,,
2014-11-30,6.333333333,12.67,,,,,,,,,
2014-12-31,4.388888889,8.47,,,,,,,,,
2015-01-31,-0.666666667,7.01,,,,,,,,,
2015-02-28,-3.722222222,2.54,,,,,,,,,
2015-03-31,4.277777778,7.67,,,,,,,,,
2015-04-30,12.55555556,24.01,,,,,,,,,
2015-05-31,20.61111111,22.42,,,,,,,,,
2015-06-30,23.38888889,76.89,,,,,,,,,
2015-07-31,25,21.21,,,,,,,,,
2015-08-31,23.94444444,20.58,,,,,,,,,
2015-09-30,22.16666667,17.65,,,,,,,,,
2015-10-31,12.94444444,8.25,,,,,,,,,
2015-11-30,10.5,4.46,,,,,,,,,
2015-12-31,9.444444444,26.11,,,,,,,,,
2016-01-31,-0.055555556,3.60,,,,,,,,,
2016-02-29,3,20.76,,,,,,,,,
2016-03-31,10,15.28,,,,,,,,,
2016-04-30,12.22222222,19.64,,,,,,,,,
2016-05-31,16.38888889,9.46,,,,,,,,,
2016-06-30,22.77777778,19.50,,,,,,,,,
2016-07-31,26.5,26.74,,,,,,,,,
2016-08-31,26.16666667,18.50,,,,,,,,,
2016-09-30,22.38888889,8.64,,,,,,,,,
2016-10-31,15.33333333,5.9,,,,,,,,,
2016-11-30,9.222222222,6.74,,,,,,,,,
2016-12-31,3.5,9.83,,,,,,,,,
2017-01-31,3.888888889,2.43,,,,,,,,,
2017-02-28,6.777777778,6.04,,,,,,,,,
2017-03-31,6.611111111,9.6,,,,,,,,,
2017-04-30,15.72222222,63.34,,,,,,,,,
2017-05-31,16.83333333,29.17,,,,,,,,,
2017-06-30,23.16666667,8.57,,,,,,,,,
2017-07-31,25.94444444,14.96,,,,,,,,,
2017-08-31,23.05555556,25.59,,,,,,,,,
2017-09-30,20.61111111,5.22,,,,,,,,,
2017-10-31,16.44444444,5.52,,,,,,,,,
2017-11-30,7.888888889,4.4,,,,,,,,,
2018-01-31,0,4.25,,,,,,,,,
2018-02-28,5.444444444,31.28,,,,,,,,,
2018-03-31,4.555555556,5.3,,,,,,,,,
2018-04-30,11.16666667,54.49,,,,,,,,,
2018-05-31,20.88888889,37.94,,,,,,,,,
2018-06-30,22.55555556,34.36,,,,,,,,,
2018-07-31,25.44444444,47.74,,,,,,,,,
2018-08-31,25.77777778,17.98,,,,,,,,,
2018-09-30,22.77777778,25.6,,,,,,,,,
2018-10-31,15.16666667,9.42,,,,,,,,,
2018-11-30,6.444444444,28.54,,,,,,,,,
2018-12-31,4.277777778,13.49,,,,,,,,,
2019-01-31,0.833333333,5.57,,,,,,,,,
2019-02-28,3.222222222,5.57,,,,,,,,,
2019-03-31,6.111111111,16.81,,,,,,,,,
2019-04-30,15.27777778,21.82,,,,,,,,,
2019-05-31,20.16666667,33.38,,,,,,,,,
2019-06-30,24.05555556,9.33,,,,,,,,,
2019-07-31,27.11111111,33.11,,,,,,,,,
2019-08-31,25.5,23.47,,,,,,,,,
,,,,,,,,,,,
